Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Beginner Slab","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107272232/beginner-slab,1.5,-1,TR,5.2,1,50,42.07125,-113.70772
Wonderbread,"White Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105981084/wonderbread,2.2,-1,Sport,5.10a/b,1,60,42.09138,-113.70465
Andromeda,"Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/116120939/andromeda,2.8,-1,Trad,"5.8 PG13",7,700,42.09646,-113.68672
"Reach for the Sky","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741851/reach-for-the-sky,2.3,-1,"Trad, Sport","5.10b R",1,60,42.08282,-113.72147
"Geowatt Left","Geowatt > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/120582865/geowatt-left,2.8,-1,Trad,5.10a/b,1,45,42.09275,-113.69771
"Simba's Pride","Lion's Head > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107171607/simbas-pride,2.7,-1,Sport,5.10b,1,110,42.0917,-113.6982
Finite,"The Clamshell > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/117284452/finite,3.0,-1,Trad,"5.10 PG13",3,,42.0864,-113.71963
"Masochistic Opposite","The Mall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113360765/masochistic-opposite,2.8,-1,Trad,5.10a,1,40,42.08948,-113.72753
God-Stopper,"Shangri La > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111991216/god-stopper,3.0,-1,Trad,5.10,1,80,42.0961,-113.7193
"Vulture Crack","Anteater - East > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106868959/vulture-crack,2.4,-1,Trad,5.8,1,100,42.08229,-113.7218
"Naked Ape","Nameless Tower > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108227799/naked-ape,2.6,-1,Sport,5.8,2,200,42.09858,-113.70916
Indiscretion,"Site 18 > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105981055/indiscretion,2.3,-1,Trad,5.9,1,60,42.0927,-113.70359
"Book of Dissent","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105853850/book-of-dissent,2.0,-1,Trad,5.10a,1,100,42.08282,-113.72147
"Vertical Turtle","No Start Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/116357794/vertical-turtle,2.8,-1,Trad,"5.9+ R",1,150,42.08595,-113.71191
"Driving at Night","Odyssey > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105886965/driving-at-night,2.1,-1,Sport,5.9,1,50,42.08032,-113.70666
"No Satisfaction","Rabbit Rock - Southwest > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107208383/no-satisfaction,2.6,-1,Trad,5.8,2,200,42.08358,-113.72075
"Featured Face","Bloody Fingers Corridor > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105962104/featured-face,2.1,-1,Trad,"5.7 R",1,70,42.08751,-113.7293
"Smucker's Jam","Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112927189/smuckers-jam,2.5,-1,Trad,5.8,1,100,42.08058,-113.72115
